dt,t,Hamiltonian,E_pot,E_kin,
30.00,0.0000000000,-3310.8040494148,-3319.6195031286,8.8154537137
30.00,30.0000000000,-3311.5757027419,-3335.4617713530,23.8860686111
30.00,60.0000000000,-3311.5140684267,-3343.8672134999,32.3531450732
30.00,90.0000000000,-3311.1848101891,-3344.7932441782,33.6084339891
30.00,120.0000000000,-3310.9745639416,-3343.7589949707,32.7844310291
30.00,150.0000000000,-3311.1544613599,-3344.5309869556,33.3765255957
30.00,180.0000000000,-3311.3326277198,-3345.1694529288,33.8368252090
30.00,210.0000000000,-3311.1972100332,-3343.4085429057,32.2113328725
30.00,240.0000000000,-3311.0439931902,-3341.3362970156,30.2923038254
30.00,270.0000000000,-3311.1129408744,-3341.5038438871,30.3909030127
30.00,300.0000000000,-3311.2988221230,-3343.1895474404,31.8907253175
30.00,330.0000000000,-3311.3399616397,-3343.8627822354,32.5228205957
30.00,360.0000000000,-3311.2531777145,-3343.0630476380,31.8098699235
30.00,390.0000000000,-3311.2330732042,-3342.2623194531,31.0292462489
30.00,420.0000000000,-3311.2546518932,-3342.0561570534,30.8015051602
30.00,450.0000000000,-3311.3007543023,-3342.1431900145,30.8424357122
30.00,480.0000000000,-3311.2667148982,-3341.9544362682,30.6877213700
30.00,510.0000000000,-3311.2652748218,-3342.0139421079,30.7486672861
30.00,540.0000000000,-3311.3502187465,-3342.4085603956,31.0583416491
30.00,570.0000000000,-3311.3142033435,-3342.2564665343,30.9422631908
30.00,600.0000000000,-3311.2759021688,-3342.1734223932,30.8975202244
30.00,630.0000000000,-3311.2896567372,-3342.7622444375,31.4725877003
30.00,660.0000000000,-3311.3240319612,-3343.7102353388,32.3862033776
30.00,690.0000000000,-3311.3454556710,-3344.1275280544,32.7820723834
30.00,720.0000000000,-3311.2455718732,-3343.4059518952,32.1603800220
30.00,750.0000000000,-3311.2171605895,-3342.5501177587,31.3329571691
30.00,780.0000000000,-3311.2026461186,-3341.8681556286,30.6655095100
30.00,810.0000000000,-3311.2031702542,-3341.2902796844,30.0871094302
30.00,840.0000000000,-3311.2082911019,-3340.5130499826,29.3047588807
30.00,870.0000000000,-3311.1089089008,-3339.3140447003,28.2051357994
30.00,900.0000000000,-3311.0857494589,-3338.7412193540,27.6554698951
30.00,930.0000000000,-3311.1421499717,-3338.9019906710,27.7598406994
30.00,960.0000000000,-3311.1587891401,-3338.8802006504,27.7214115102
30.00,990.0000000000,-3311.1565968054,-3338.2987082408,27.1421114354
30.00,1020.0000000000,-3311.0949112500,-3337.4080254312,26.3131141812
30.00,1050.0000000000,-3311.0837495383,-3337.1841197488,26.1003702105
30.00,1080.0000000000,-3311.1562068342,-3337.8811915862,26.7249847519
30.00,1110.0000000000,-3311.1674328891,-3338.6071980992,27.4397652100
30.00,1140.0000000000,-3311.1566427157,-3339.1303445501,27.9737018344
30.00,1170.0000000000,-3311.2185374117,-3339.4657210090,28.2471835973
30.00,1200.0000000000,-3311.1241717820,-3339.1511468860,28.0269751039
30.00,1230.0000000000,-3311.1079592358,-3339.4315379216,28.3235786858
30.00,1260.0000000000,-3311.1932153238,-3340.6329622592,29.4397469353
30.00,1290.0000000000,-3311.2457396755,-3341.6036836669,30.3579439913
30.00,1320.0000000000,-3311.2235229374,-3341.6848953410,30.4613724037
30.00,1350.0000000000,-3311.1995930476,-3341.3979161108,30.1983230632
30.00,1380.0000000000,-3311.2357608141,-3341.3309557816,30.0951949675
30.00,1410.0000000000,-3311.2171814872,-3341.3542383971,30.1370569100
30.00,1440.0000000000,-3311.2085645565,-3342.0348673747,30.8263028183
30.00,1470.0000000000,-3311.4051469520,-3343.3125996963,31.9074527443
30.00,1500.0000000000,-3311.3541449907,-3342.7510283472,31.3968833565
30.00,1530.0000000000,-3311.1260553386,-3341.3172900773,30.1912347387
30.00,1560.0000000000,-3311.2803399828,-3342.0654394593,30.7850994766
30.00,1590.0000000000,-3311.4210672887,-3343.2311740487,31.8101067600
30.00,1620.0000000000,-3311.3193204919,-3342.8342286041,31.5149081122
30.00,1650.0000000000,-3311.2737978265,-3342.1593902342,30.8855924076
30.00,1680.0000000000,-3311.3020593434,-3341.9938348112,30.6917754678
30.00,1710.0000000000,-3311.2875939682,-3342.0580279066,30.7704339383
30.00,1740.0000000000,-3311.2975596765,-3342.2538496323,30.9562899558
30.00,1770.0000000000,-3311.2404409591,-3342.2234485795,30.9830076204
30.00,1800.0000000000,-3311.2556192204,-3342.2831738124,31.0275545921
30.00,1830.0000000000,-3311.2588245397,-3341.9203684690,30.6615439293
30.00,1860.0000000000,-3311.1764070068,-3340.8688023704,29.6923953636
30.00,1890.0000000000,-3311.1476750762,-3340.1449256850,28.9972506088
30.00,1920.0000000000,-3311.1565527518,-3340.1781224243,29.0215696725
30.00,1950.0000000000,-3311.1690787857,-3340.7352894487,29.5662106630
30.00,1980.0000000000,-3311.2436322591,-3341.3302464843,30.0866142252
20.00,0.0000000000,-3309.9603190269,-3314.4513572537,4.4910382268
20.00,20.0000000000,-3310.3493002609,-3325.0342950541,14.6849947931
20.00,40.0000000000,-3310.5271926971,-3335.3524444795,24.8252517824
20.00,60.0000000000,-3310.5340082919,-3342.1177267518,31.5837184600
20.00,80.0000000000,-3310.4599284253,-3344.9142386854,34.4543102601
20.00,100.0000000000,-3310.3546968953,-3344.9299562662,34.5752593709
20.00,120.0000000000,-3310.2697039506,-3344.0099836059,33.7402796554
20.00,140.0000000000,-3310.2596738153,-3343.6965113001,33.4368374848
20.00,160.0000000000,-3310.3282380364,-3344.3360861341,34.0078480977
