nb_processes,n,e_total,e_pot,e_kin
2,923,-3129.541277481846009,-3141.633693629852587,12.092416148006709
2,923,-3129.541296509423773,-3141.835787629751394,12.294491120327748
2,923,-3129.541324930597057,-3142.099661616035064,12.558336685437887
2,923,-3129.541354863875767,-3142.384648188616666,12.843293324740820
2,923,-3129.541377838930657,-3142.648091535334061,13.106713696403286
2,923,-3129.541388094508875,-3142.858234954590444,13.316846860081593
2,923,-3129.541384242177173,-3143.003174621928338,13.461790379751017
2,923,-3129.541369513612608,-3143.092946858445430,13.551577344832889
2,923,-3129.541349822562097,-3143.154701101564569,13.613351279002414
2,923,-3129.541331075954076,-3143.223710049947840,13.682378973993682
2,923,-3129.541317858462207,-3143.333983843024726,13.792665984562674
2,923,-3129.541312929340165,-3143.511034310527975,13.969721381187821
2,923,-3129.541317917250126,-3143.767252282693335,14.225934365443063
2,923,-3129.541333234212289,-3144.099341995819486,14.558008761607304
2,923,-3129.541357240580510,-3144.487891238315569,14.946533997734974
2,923,-3129.541385712975625,-3144.900142549006432,15.358756836030905
2,923,-3129.541412734777168,-3145.296635620859888,15.755222886082505
2,923,-3129.541432722472109,-3145.640368109312476,16.098935386840175
2,923,-3129.541442954898230,-3145.905162555264269,16.363719600365975
2,923,-3129.541443857634022,-3146.080039581564961,16.538595723930893
2,923,-3129.541437726979893,-3146.168792228510029,16.627354501530121
2,923,-3129.541426845582919,-3146.186674231432789,16.645247385849750
2,923,-3129.541412272393700,-3146.156990915407732,16.615578643014196
2,923,-3129.541394547129585,-3146.109059189980144,16.567664642850417
2,923,-3129.541375463458280,-3146.076771675113378,16.535396211655119
2,923,-3129.541359727566942,-3146.095251696305240,16.553891968738483
2,923,-3129.541355219558227,-3146.193018598595245,16.651663379037018
2,923,-3129.541369015658347,-3146.380108389854740,16.838739374196358
2,923,-3129.541401224572382,-3146.638104785821270,17.096703561248876
2,923,-3129.541442391174769,-3146.920723092930075,17.379280701755462
2,923,-3129.541478305146029,-3147.168183725409108,17.626705420263214
2,923,-3129.541498065182168,-3147.328605413171317,17.787107347989227
2,923,-3129.541498750231312,-3147.374782736802445,17.833283986570958
2,923,-3129.541485428365377,-3147.308794175241019,17.767308746875486
2,923,-3129.541466746502920,-3147.154773217076581,17.613306470573846
2,923,-3129.541450567775883,-3146.945711087183099,17.404260519407003
2,923,-3129.541441319290243,-3146.711147012495530,17.169705693205223
2,923,-3129.541439777829510,-3146.469936470556604,16.928496692726974
2,923,-3129.541444509130542,-3146.228511534482095,16.687067025351759
4,923,-3129.540813137607984,-3129.545342113757215,0.004528976149170
4,923,-3129.540855793305582,-3130.081887631428799,0.541031838123442
4,923,-3129.540960719555642,-3131.447155810945787,1.906195091390016
4,923,-3129.541106157558261,-3133.475986745971568,3.934880588413328
4,923,-3129.541265299007591,-3135.938218067264643,6.396952768257218
4,923,-3129.541410940496462,-3138.581737411544964,9.040326471048438
4,923,-3129.541521440465658,-3141.175182025203867,11.633660584738356
4,923,-3129.541584697136841,-3143.541727523157533,14.000142826020467
4,923,-3129.541600489840675,-3145.577754787854246,16.036154298013717
4,923,-3129.541581467416108,-3147.252443008735099,17.710861541318835
4,923,-3129.541548131642685,-3148.588283772694922,19.046735641052404
4,923,-3129.541519934597545,-3149.629625872569704,20.088105937972379
4,923,-3129.541504941500989,-3150.413514733244938,20.872009791744112
4,923,-3129.541497629786136,-3150.957207282225681,21.415709652439524
4,923,-3129.541483997268188,-3151.266656194065490,21.725172196797303
4,923,-3129.541453113953139,-3151.356750749310777,21.815297635357531
4,923,-3129.541404092736229,-3151.267875097634715,21.726471004898336
4,923,-3129.541345779006406,-3151.068144820276757,21.526799041270447
4,923,-3129.541291100682429,-3150.841017427012957,21.299726326330337
4,923,-3129.541250833477079,-3150.665944532341655,21.124693698864498
4,923,-3129.541230727217226,-3150.601259300652600,21.060028573435513
4,923,-3129.541231659165533,-3150.674647024390651,21.133415365225066
4,923,-3129.541250990817844,-3150.881396912146556,21.340145921328578
4,923,-3129.541284698705113,-3151.187764974046786,21.646480275341588
4,923,-3129.541328134483138,-3151.536933611712811,21.995605477229798
4,923,-3129.541375626845365,-3151.856596380314841,22.315220753469376
4,923,-3129.541420355736591,-3152.068268438214545,22.526848082478107
4,923,-3129.541454896733740,-3152.098363709179466,22.556908812445755
4,923,-3129.541472176689240,-3151.890213380413115,22.348741203724046
4,923,-3129.541467587766874,-3151.415061268195132,21.873593680428087
4,923,-3129.541440795382641,-3150.679101622876260,21.137660827493555
4,923,-3129.541397319620501,-3149.723387244104742,20.181989924484125
4,923,-3129.541348331158133,-3148.614657837699269,19.073309506541086
4,923,-3129.541306710665594,-3147.428181912765012,17.886875202099347
