dt,t,Hamiltonian,E_pot,E_kin,
0.010,0.0000000000,-6727.3025021574,-6727.5762271861,0.2737250287
0.010,0.0100000000,-6727.3033631886,-6728.3936436339,1.0902804453
0.010,0.0200000000,-6727.3047714617,-6729.7407151547,2.4359436929
0.010,0.0300000000,-6727.3066872095,-6731.5949834092,4.2882961997
0.010,0.0400000000,-6727.3090556697,-6733.9259484501,6.6168927804
0.010,0.0500000000,-6727.3118082434,-6736.6959872236,9.3841789802
0.010,0.0600000000,-6727.3148643010,-6739.8614974321,12.5466331311
0.010,0.0700000000,-6727.3181337971,-6743.3742327831,16.0560989860
0.010,0.0800000000,-6727.3215208202,-6747.1827826373,19.8612618171
0.010,0.0900000000,-6727.3249280700,-6751.2341347927,23.9092067227
0.010,0.1000000000,-6727.3282621189,-6755.4752464443,28.1469843254
0.010,0.1100000000,-6727.3314390624,-6759.8545377657,32.5230987033
0.010,0.1200000000,-6727.3343899562,-6764.3232184790,36.9888285228
0.010,0.1300000000,-6727.3370652216,-6768.8363635277,41.4992983060
0.010,0.1400000000,-6727.3394371567,-6773.3536722784,46.0142351217
0.010,0.1500000000,-6727.3414997802,-6777.8398771371,50.4983773569
0.010,0.1600000000,-6727.3432656464,-6782.2648098240,54.9215441776
0.010,0.1700000000,-6727.3447598457,-6786.6031805711,59.2584207254
0.010,0.1800000000,-6727.3460121748,-6790.8341677616,63.4881555868
0.010,0.1900000000,-6727.3470491315,-6794.9409416125,67.5938924809
0.010,0.2000000000,-6727.3478877906,-6798.9102453260,71.5623575354
0.010,0.2100000000,-6727.3485334887,-6802.7321253324,75.3835918437
0.010,0.2200000000,-6727.3489824930,-6806.3998415354,79.0508590424
0.010,0.2300000000,-6727.3492295447,-6809.9099110258,82.5606814811
0.010,0.2400000000,-6727.3492786369,-6813.2621646567,85.9128860198
0.010,0.2500000000,-6727.3491540535,-6816.4596485878,89.1104945343
0.010,0.2600000000,-6727.3489080887,-6819.5082022170,92.1592941283
0.010,0.2700000000,-6727.3486222471,-6822.4155985275,95.0669762804
0.010,0.2800000000,-6727.3484002736,-6825.1902355821,97.8418353085
0.010,0.2900000000,-6727.3483536493,-6827.8394945182,100.4911408689
0.010,0.3000000000,-6727.3485826332,-6830.3679942487,103.0194116155
0.010,0.3100000000,-6727.3491576911,-6832.7760389300,105.4268812389
0.010,0.3200000000,-6727.3501064734,-6835.0585449640,107.7084384905
0.010,0.3300000000,-6727.3514101454,-6837.2046457196,109.8532355742
0.010,0.3400000000,-6727.3530100317,-6839.1980263256,111.8450162939
0.010,0.3500000000,-6727.3548221841,-6841.0178815828,113.6630593987
0.010,0.3600000000,-6727.3567547744,-6842.6402687994,115.2835140250
0.010,0.3700000000,-6727.3587223123,-6844.0395849053,116.6808625930
0.010,0.3800000000,-6727.3606521680,-6845.1899463964,117.8292942284
0.010,0.3900000000,-6727.3624823378,-6846.0663682395,118.7038859017
0.010,0.4000000000,-6727.3641535955,-6846.6457706075,119.2816170120
0.010,0.4100000000,-6727.3656022506,-6846.9079266730,119.5423244224
0.010,0.4200000000,-6727.3667601120,-6846.8364546899,119.4696945780
0.010,0.4300000000,-6727.3675653242,-6846.4198487078,119.0522833836
0.010,0.4400000000,-6727.3679823331,-6845.6523801178,118.2843977847
0.010,0.4500000000,-6727.3680235230,-6844.5345691716,117.1665456486
0.010,0.4600000000,-6727.3677616834,-6843.0729077675,115.7051460841
0.010,0.4700000000,-6727.3673235388,-6841.2786615893,113.9113380505
0.010,0.4800000000,-6727.3668606146,-6839.1658720504,111.7990114357
0.010,0.4900000000,-6727.3665031355,-6836.7490217713,109.3825186358
0.010,0.5000000000,-6727.3663117080,-6834.0410773227,106.6747656147
0.010,0.5100000000,-6727.3662457326,-6831.0526433305,103.6863975979
0.010,0.5200000000,-6727.3661634735,-6827.7926931825,100.4265297090
0.010,0.5300000000,-6727.3658566735,-6824.2708495465,96.9049928730
0.010,0.5400000000,-6727.3651071652,-6820.5006593393,93.1355521741
0.010,0.5500000000,-6727.3637417060,-6816.5029779721,89.1392362661
0.010,0.5600000000,-6727.3616616983,-6812.3086132487,84.9469515504
0.010,0.5700000000,-6727.3588390744,-6807.9597675154,80.6009284410
0.010,0.5800000000,-6727.3552927305,-6803.5103306739,76.1550379434
0.010,0.5900000000,-6727.3510771523,-6799.0253687253,71.6742915730
0.010,0.6000000000,-6727.3463104245,-6794.5799719263,67.2336615019
0.010,0.6100000000,-6727.3412380928,-6790.2570518123,62.9158137195
0.010,0.6200000000,-6727.3362888565,-6786.1431698730,58.8068810165
0.010,0.6300000000,-6727.3320589479,-6782.3216356741,54.9895767262
0.010,0.6400000000,-6727.3291871140,-6778.8631951821,51.5340080680
0.010,0.6500000000,-6727.3281444403,-6775.8162549269,48.4881104866
0.010,0.6600000000,-6727.3290258254,-6773.1998281273,45.8708023018
0.010,0.6700000000,-6727.3314496815,-6771.0023253913,43.6708757098
0.010,0.6800000000,-6727.3346312849,-6769.1876613441,41.8530300591
0.010,0.6900000000,-6727.3376146611,-6767.7075232514,40.3699085902
0.010,0.7000000000,-6727.3395741988,-6766.5162466813,39.1766724825
0.010,0.7100000000,-6727.3400689003,-6765.5836741414,38.2436052411
0.010,0.7200000000,-6727.3391573428,-6764.9020789269,37.5629215841
0.010,0.7300000000,-6727.3373406721,-6764.4853578555,37.1480171834
0.010,0.7400000000,-6727.3353657531,-6764.3613396871,37.0259739340
0.010,0.7500000000,-6727.3339673189,-6764.5602236505,37.2262563316
0.010,0.7600000000,-6727.3336424382,-6765.1031265577,37.7694841196
