temp,f_zz,v_z,e_pot,t,v_z_0,rate,v_x,v_y
298.068732587413820,0.078013703931560,287.735211354861633,-190580.937201280292356,0.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
306.908979995531524,-1.817091556081079,287.821531918268079,-190680.614347738854121,1500.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
295.661342519623872,5.647919169090683,287.907852481674524,-190583.826018956606276,3000.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
301.151105935523049,-6.385816520599343,287.994173045081027,-190662.311410122580128,4500.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
300.159083703990689,8.728696806247623,288.080493608487473,-190612.862542673246935,6000.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
301.895029576421450,-5.808034323312660,288.166814171893918,-190673.974474636983359,7500.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
301.651096691470570,11.765906104738747,288.253134735300364,-190632.089179669914301,9000.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
298.319349044073874,-4.137706789859198,288.339455298706866,-190643.076270894845948,10500.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
305.920375529423268,9.493039831097834,288.425775862113312,-190666.512953626574017,12000.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
293.824416493738454,-2.341893942221336,288.512096425519758,-190604.199844989983831,13500.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
306.216976536866696,8.810721636297131,288.598416988926203,-190675.935308462270768,15000.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
293.315940579809308,3.191705311051098,288.684737552332649,-190593.771180444338825,16500.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
302.463636207866955,6.883276250177881,288.771058115739152,-190651.710433299245778,18000.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
294.578261917596251,6.397535002273029,288.857378679145597,-190588.305420425400371,19500.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
304.046881061033901,3.281071194305379,288.943699242552043,-190666.714130400680006,21000.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
298.061785978590990,9.679074346533600,289.030019805958489,-190606.795904019032605,22500.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
300.616754641398074,3.464434235197984,289.116340369364991,-190649.847788030747324,24000.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
299.135801105373901,13.446479583999871,289.202660932771437,-190604.911261817323975,25500.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
301.188847222087247,2.498173678133874,289.288981496177882,-190648.336868380662054,27000.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
301.692217648466567,13.436811158516452,289.375302059584328,-190626.297908121719956,28500.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
297.733788495692295,3.409370834920527,289.461622622990831,-190622.089023687469307,30000.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
303.796538557076758,13.732691243966283,289.547943186397276,-190645.313677425205242,31500.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
295.270198595560601,7.244089166386404,289.634263749803722,-190594.781995075754821,33000.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
303.099235363144317,12.621751425902543,289.720584313210168,-190638.379934158176184,34500.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
296.578972656274175,9.146168431877237,289.806904876616613,-190596.548639145796187,36000.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
301.337752533972719,10.445383064892850,289.893225440023116,-190631.659466746321414,37500.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
298.349474534128092,12.561476428081344,289.979546003429562,-190601.424641911668004,39000.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
301.350274789996718,10.487958221114736,290.065866566836007,-190631.165861940186005,40500.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
297.226843526048924,15.614388828319344,290.152187130242453,-190582.467804374464322,42000.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
301.654450137936692,9.272779569108856,290.238507693648955,-190632.450174138648435,43500.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
299.051173305888881,15.985979741525641,290.324828257055401,-190595.936693952826317,45000.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
299.037877422792178,9.384498592948086,290.411148820461847,-190612.755380462913308,46500.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
302.270521301465180,17.432332321145925,290.497469383868292,-190616.957085835281760,48000.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
297.017303283868841,11.882775181145192,290.583789947274738,-190588.345282968482934,49500.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
301.947663831845659,17.248717731648970,290.670110510681241,-190612.202220934734214,51000.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
