temp,f_zz,v_z,e_pot,t,v_z_0,rate,v_x,v_y
202.345169140772356,0.030380260939133,288.384171938828331,-191358.357629667036235,0.000000000000000,288.384171938828331,100000000.000000000000000,358.084825931415423,346.752593924624023
199.904958754450121,6.148413503721061,288.470687190409990,-191347.192603022733238,3000.000000000000000,288.384171938828331,100000000.000000000000000,358.084825931415423,346.752593924624023
201.121309389222347,5.448957597040920,288.557202441991649,-191354.525828618003288,6000.000000000000000,288.384171938828331,100000000.000000000000000,358.084825931415423,346.752593924624023
201.654467857404342,7.431989043498784,288.643717693573251,-191358.764568650920410,9000.000000000000000,288.384171938828331,100000000.000000000000000,358.084825931415423,346.752593924624023
200.921911760743455,5.874801702080571,288.730232945154910,-191353.577911928994581,12000.000000000000000,288.384171938828331,100000000.000000000000000,358.084825931415423,346.752593924624023
199.785309852014620,7.161045854900415,288.816748196736569,-191351.914711132500088,15000.000000000000000,288.384171938828331,100000000.000000000000000,358.084825931415423,346.752593924624023
200.350604114472191,8.476515752104374,288.903263448318228,-191354.382114308886230,18000.000000000000000,288.384171938828331,100000000.000000000000000,358.084825931415423,346.752593924624023
199.549196637112260,7.431814186134488,288.989778699899887,-191347.887309159763390,21000.000000000000000,288.384171938828331,100000000.000000000000000,358.084825931415423,346.752593924624023
198.140991935324621,9.959755960025625,289.076293951481546,-191334.113614623871399,24000.000000000000000,288.384171938828331,100000000.000000000000000,358.084825931415423,346.752593924624023
197.728205003091460,9.450372078910098,289.162809203063148,-191327.643552109861048,27000.000000000000000,288.384171938828331,100000000.000000000000000,358.084825931415423,346.752593924624023
198.163767673787817,9.642756358396047,289.249324454644807,-191331.409800343099050,30000.000000000000000,288.384171938828331,100000000.000000000000000,358.084825931415423,346.752593924624023
200.358339085902713,11.251148216813675,289.335839706226466,-191340.335604390391381,33000.000000000000000,288.384171938828331,100000000.000000000000000,358.084825931415423,346.752593924624023
200.845157826791109,9.930102025633294,289.422354957808125,-191343.694438682316104,36000.000000000000000,288.384171938828331,100000000.000000000000000,358.084825931415423,346.752593924624023
201.037025431172594,11.122349843239277,289.508870209389784,-191344.757310855347896,39000.000000000000000,288.384171938828331,100000000.000000000000000,358.084825931415423,346.752593924624023
200.351258565015854,11.612802277596666,289.595385460971386,-191340.601980053354055,42000.000000000000000,288.384171938828331,100000000.000000000000000,358.084825931415423,346.752593924624023
201.242610735495219,11.073709875320878,289.681900712553045,-191349.188900026609190,45000.000000000000000,288.384171938828331,100000000.000000000000000,358.084825931415423,346.752593924624023
200.611702285920472,13.129702919138948,289.768415964134704,-191339.188002402312122,48000.000000000000000,288.384171938828331,100000000.000000000000000,358.084825931415423,346.752593924624023
199.389729500769761,12.585743984229744,289.854931215716363,-191330.102481145149795,51000.000000000000000,288.384171938828331,100000000.000000000000000,358.084825931415423,346.752593924624023
198.049078156076916,13.199539243854879,289.941446467298022,-191321.099758245865814,54000.000000000000000,288.384171938828331,100000000.000000000000000,358.084825931415423,346.752593924624023
199.317788947557119,14.662279130026992,290.027961718879681,-191324.323377756867558,57000.000000000000000,288.384171938828331,100000000.000000000000000,358.084825931415423,346.752593924624023
199.200952205899682,13.696066961918550,290.114476970461283,-191323.075051336898468,60000.000000000000000,288.384171938828331,100000000.000000000000000,358.084825931415423,346.752593924624023
200.283334553846345,15.090833990238830,290.200992222042942,-191325.536337524885312,63000.000000000000000,288.384171938828331,100000000.000000000000000,358.084825931415423,346.752593924624023
200.104606425671022,15.066981096908981,290.287507473624601,-191324.949903390050167,66000.000000000000000,288.384171938828331,100000000.000000000000000,358.084825931415423,346.752593924624023
200.669393634639647,14.662131856725015,290.374022725206260,-191330.836284273682395,69000.000000000000000,288.384171938828331,100000000.000000000000000,358.084825931415423,346.752593924624023
200.791150724637419,16.265194825477309,290.460537976787919,-191327.423402632673969,72000.000000000000000,288.384171938828331,100000000.000000000000000,358.084825931415423,346.752593924624023
200.212683487814616,15.643533520332401,290.547053228369521,-191324.238536836754065,75000.000000000000000,288.384171938828331,100000000.000000000000000,358.084825931415423,346.752593924624023
199.419118656589632,16.513142955217575,290.633568479951180,-191316.579154009843478,78000.000000000000000,288.384171938828331,100000000.000000000000000,358.084825931415423,346.752593924624023
199.313396150044753,17.665262625764306,290.720083731532839,-191312.322257529333001,81000.000000000000000,288.384171938828331,100000000.000000000000000,358.084825931415423,346.752593924624023
198.963991610328009,16.855117236140764,290.806598983114498,-191309.329990421625553,84000.000000000000000,288.384171938828331,100000000.000000000000000,358.084825931415423,346.752593924624023
199.611389166781947,18.366505254261188,290.893114234696156,-191307.475142703216989,87000.000000000000000,288.384171938828331,100000000.000000000000000,358.084825931415423,346.752593924624023
198.483252782598811,18.190090297730713,290.979629486277759,-191299.295708800433204,90000.000000000000000,288.384171938828331,100000000.000000000000000,358.084825931415423,346.752593924624023
199.603194959407915,18.035117003239741,291.066144737859418,-191306.436683364969213,93000.000000000000000,288.384171938828331,100000000.000000000000000,358.084825931415423,346.752593924624023
200.472777361218988,19.561284390498315,291.152659989441077,-191309.247944446164183,96000.000000000000000,288.384171938828331,100000000.000000000000000,358.084825931415423,346.752593924624023
200.814130022379345,18.751661077423122,291.239175241022735,-191312.054276193433907,99000.000000000000000,288.384171938828331,100000000.000000000000000,358.084825931415423,346.752593924624023
200.718982284454881,19.633091832716030,291.325690492604394,-191307.849667677743128,102000.000000000000000,288.384171938828331,100000000.000000000000000,358.084825931415423,346.752593924624023
